Date,Open,High,Low,Close,Adj,Volume,Currency
"Dec 7, 2021",1.001240,1.001994,0.999268,1.000972,1.000972,"76,247,192,218",USDT-USD
"Dec 6, 2021",1.000632,1.001952,0.998272,1.001362,1.001362,"93,691,250,219",USDT-USD
"Dec 5, 2021",0.999861,1.001997,0.998547,1.000630,1.000630,"82,054,153,191",USDT-USD
"Dec 4, 2021",1.000505,1.001997,0.998766,1.000007,1.000007,"138,598,008,408",USDT-USD
"Dec 3, 2021",0.999993,1.001993,0.998441,1.000617,1.000617,"92,639,344,690",USDT-USD
"Dec 2, 2021",1.000234,1.001999,0.998172,1.000174,1.000174,"77,139,535,799",USDT-USD
"Dec 1, 2021",1.000449,1.001976,0.998473,1.000255,1.000255,"80,908,197,091",USDT-USD
"Nov 30, 2021",1.000583,1.001925,0.998423,1.000286,1.000286,"87,396,693,339",USDT-USD
"Nov 29, 2021",0.999929,1.001967,0.998105,1.000526,1.000526,"73,041,134,842",USDT-USD
"Nov 28, 2021",1.001281,1.001999,0.998539,1.000125,1.000125,"73,452,340,871",USDT-USD
"Nov 27, 2021",1.000287,1.001999,0.998305,1.001099,1.001099,"73,666,340,601",USDT-USD
"Nov 26, 2021",1.000986,1.001981,0.998261,1.000367,1.000367,"106,740,129,710",USDT-USD
"Nov 25, 2021",0.999483,1.001990,0.998293,0.999601,0.999601,"91,394,294,449",USDT-USD
"Nov 24, 2021",0.999986,1.001992,0.998047,1.000697,1.000697,"84,317,323,264",USDT-USD
"Nov 23, 2021",1.000507,1.002514,0.998044,1.000125,1.000125,"84,196,469,142",USDT-USD
"Nov 22, 2021",1.001288,1.001986,0.998080,1.000451,1.000451,"79,375,135,623",USDT-USD
"Nov 21, 2021",0.999638,1.001999,0.998094,1.000873,1.000873,"69,057,268,195",USDT-USD
"Nov 20, 2021",1.000680,1.002000,0.998414,1.000362,1.000362,"72,417,177,800",USDT-USD
"Nov 19, 2021",1.000070,1.001999,0.998041,1.000820,1.000820,"82,193,745,588",USDT-USD
"Nov 18, 2021",1.000169,1.001964,0.998103,0.999970,0.999970,"95,287,465,626",USDT-USD
"Nov 17, 2021",1.000489,1.020047,0.998016,1.000063,1.000063,"84,478,860,409",USDT-USD
"Nov 16, 2021",1.001457,1.033019,0.998160,1.000675,1.000675,"98,954,557,342",USDT-USD
"Nov 15, 2021",1.000260,1.001988,0.998158,1.001502,1.001502,"64,113,625,426",USDT-USD
"Nov 14, 2021",1.000842,1.001952,0.998091,1.000367,1.000367,"54,429,579,952",USDT-USD
"Nov 13, 2021",0.999111,1.001993,0.998029,1.000848,1.000848,"65,797,472,687",USDT-USD
"Nov 12, 2021",1.001448,1.001994,0.998089,1.000114,1.000114,"82,883,678,293",USDT-USD
"Nov 11, 2021",1.000357,1.001997,0.998041,1.000644,1.000644,"83,970,826,408",USDT-USD
"Nov 10, 2021",1.000101,1.001987,0.998029,1.000097,1.000097,"113,809,197,171",USDT-USD
"Nov 9, 2021",1.000522,1.001228,1.000122,1.000202,1.000202,"93,002,275,939",USDT-USD
"Nov 8, 2021",1.001423,1.001587,1.000154,1.000443,1.000443,"82,548,510,715",USDT-USD
"Nov 7, 2021",1.001316,1.001959,1.000631,1.001517,1.001517,"55,905,241,687",USDT-USD
"Nov 6, 2021",1.001545,1.001668,1.000615,1.001454,1.001454,"65,151,095,549",USDT-USD
"Nov 5, 2021",1.000975,1.001898,1.000703,1.001553,1.001553,"76,677,676,369",USDT-USD
"Nov 4, 2021",1.000648,1.001284,1.000497,1.000857,1.000857,"87,280,485,610",USDT-USD
"Nov 3, 2021",1.000822,1.001427,1.000257,1.000678,1.000678,"89,436,836,448",USDT-USD
"Nov 2, 2021",1.000369,1.001410,0.999916,1.000815,1.000815,"149,878,312,204",USDT-USD
"Nov 1, 2021",1.000382,1.001335,0.999839,1.000291,1.000291,"87,025,283,378",USDT-USD
"Oct 31, 2021",1.000384,1.001668,0.999440,1.000376,1.000376,"91,561,112,863",USDT-USD
"Oct 30, 2021",1.000072,1.001102,0.999579,1.000518,1.000518,"86,474,453,142",USDT-USD
"Oct 29, 2021",1.000428,1.000967,0.999473,1.000049,1.000049,"87,302,831,458",USDT-USD
"Oct 28, 2021",1.000801,1.001067,1.000282,1.000484,1.000484,"121,660,107,352",USDT-USD
"Oct 27, 2021",1.000239,1.001576,0.999582,1.000791,1.000791,"124,069,805,053",USDT-USD
"Oct 26, 2021",0.999451,1.000760,0.999348,1.000228,1.000228,"77,630,649,473",USDT-USD
"Oct 25, 2021",1.000219,1.000982,0.999151,0.999375,0.999375,"66,194,185,821",USDT-USD
"Oct 24, 2021",1.000856,1.001094,0.999119,1.000223,1.000223,"66,669,467,996",USDT-USD
"Oct 23, 2021",0.999924,1.000920,0.999803,1.000823,1.000823,"55,395,032,239",USDT-USD
"Oct 22, 2021",1.000024,1.000445,0.999579,0.999879,0.999879,"73,919,161,798",USDT-USD
"Oct 21, 2021",0.999877,1.000436,0.999381,1.000022,1.000022,"84,189,482,202",USDT-USD
"Oct 20, 2021",1.000137,1.000689,0.999612,0.999940,0.999940,"70,187,915,900",USDT-USD
"Oct 19, 2021",1.000059,1.000603,0.999478,1.000117,1.000117,"62,387,883,982",USDT-USD
"Oct 18, 2021",1.000330,1.000568,0.999347,1.000019,1.000019,"66,503,250,420",USDT-USD
"Oct 17, 2021",1.000010,1.000681,0.999473,1.000280,1.000280,"57,600,914,728",USDT-USD
"Oct 16, 2021",0.999135,1.000177,0.999026,1.000040,1.000040,"65,419,462,010",USDT-USD
